Emoji,Name
😀,smile
😄,happy
🤣,rofl
😘,kiss
🤔,curious
🤤,drool
🤮,sick
🤠,cowboy
🥺,sad
😭,cry
😈,devil
💀,skull
🤡,clown
👻,ghost
👽,alien
🤖,robot
🐈,cat
❤,heart
💣,bomb
👋,wave
👌,ok
👈,left
👉,right
👆,up
🖕,fuck
👇,down
☝,point
👍,good
👎,bad
👊,fist
🙏,pray
👏,clap
👃,nose
🧠,brain
🦷,tooth
🦴,bone
👀,eies
👄,mouth
🐒,monkey
🐕,dog
🐴,horse
🦓,zebra
🐄,cow
🐖,pig
🐘,elephant
🐁,mouse
🐀,rat
🐇,rabbit
🦔,hedgehog
🦇,bat
🐼,panda
🐔,chicken
🦅,eagle
🦜,parrot
🐊,crocodile
🐍,snake
🐠,fish
🦋,butterfly
🐜,ant
🐝,bee
🕷,spider
🌹,rose
🌻,sunflower
🌷,tulip
💐,flower
🌲,tree
🍇,grape
🍉,melon
🍋,lemon
🍍,pineapple
🍎,apple
🍐,pear
🍓,strawberry
🥝,kiwi
🍞,bread
🧀,cheese
🍔,hamburger
🍕,pizza
🌮,taco
🍣,sushi
🔪,knife
🌞,sun
⭐,star
☁,cloud
🌂,umbrella
🌈,rainbow
❄,snow
⛄,snowman
🔥,fire
💧,water
🎃,pumpkin
🎎,japanese
🥇,first
🥈,second
🥉,third
⚽,ball
🎩,hat
💎,diamond
✏,pencil
🔨,hammer
